E=35 keV
  Dst > -20 nT
       18,           0,         448,        1547,        2535,        2534,        2862,        2428,        1811,        2182,        2460,        2135,        2365,        2178,        2376,        2426,        2429,        2483,        2639,        2872,        3446,        4109,        4596,        5256,        6562,       10399,        8689
       20,           0,         526,        2048,        2536,        2070,        2957,        2964,        2580,        2800,        3000,        2748,        2555,        1871,        1807,        1826,        1801,        1965,        2034,        2182,        2672,        3132,        3445,        4187,        5157,        7166,       11481
       22,           0,         604,        2170,        2684,        2366,        2616,        2398,        2040,        2310,        2573,        2443,        2441,        1995,        2013,        2152,        2202,        2453,        2479,        2652,        3271,        4081,        4402,        4750,        5038,        5773,        7797
  -50 nT < Dst < -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,         111,         320,         435,         368,         392,         341,         282,         349,         377,         336,         363,         363,         374,         385,         336,         313,         331,         348,         517,         663,         741,         764,         795,         960,        1276
        2,           0,         184,         460,         302,         234,         367,         355,         348,         332,         331,         342,         412,         379,         426,         467,         497,         550,         552,         575,         621,         752,         794,         804,         865,         898,         819
        4,           0,         130,         248,         442,         460,         520,         453,         371,         340,         375,         422,         453,         425,         433,         373,         273,         301,         299,         318,         422,         493,         462,         521,         721,        1287,        2237
        6,           0,         172,         271,         357,         304,         402,         418,         330,         341,         305,         281,         286,         272,         315,         379,         352,         383,         385,         445,         703,         963,        1058,        1200,        1444,        1786,        2152
        8,           0,         309,         448,         258,         117,          86,         103,         146,         220,         286,         331,         399,         352,         429,         460,         417,         457,         425,         451,         684,         931,        1132,        1491,        2173,        2949,        1151
       10,           0,         164,         275,         349,         338,         366,         272,         207,         185,         159,         135,         118,         107,         145,         171,         218,         302,         356,         436,         551,         776,        1214,        1867,        3291,        5020,         588
       12,           0,          67,         198,         324,         284,         389,         408,         328,         317,         327,         290,         309,         327,         335,         369,         329,         407,         395,         455,         619,         772,         799,         874,        1234,        2224,         104
       14,           0,          82,         235,         270,         321,         306,         305,         311,         356,         407,         472,         483,         436,         481,         483,         386,         391,         405,         422,         505,         614,         495,         428,         442,         910,          44
       16,           0,          96,         359,         409,         296,         416,         399,         331,         297,         290,         167,         141,         103,          80,          93,         114,         125,         152,         236,         419,         541,         678,         869,        1197,        2639,        1342
       18,           0,          78,         251,         414,         323,         311,         242,         111,         172,         218,         260,         283,         261,         293,         327,         368,         395,         393,         360,         398,         502,         593,         784,        1078,        1629,        1128
       20,           0,          52,         198,         122,         118,         211,         269,         334,         388,         423,         427,         449,         368,         379,         393,         340,         336,         393,         466,         526,         540,         659,         736,         680,         675,         701
       22,           0,          25,         194,         382,         438,         413,         390,         275,         228,         211,         226,         282,         206,         236,         290,         336,         389,         413,         416,         536,         609,         648,         744,         842,        1007,        1272
  Dst < -50 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,           6,          54,          93,          87,          82,          41,          21,          25,          40,          29,          43,          40,          63,          60,          40,          40,          45,          48,          66,          96,         117,         139,         128,         127,         104
        2,           0,          46,          87,          62,          49,          61,          86,          76,          81,         102,         101,         103,          78,          70,          74,          73,          77,          82,          66,          77,          83,          73,          56,          61,          62,          74
        4,           0,          36,          41,         115,         105,          81,          55,          30,          45,          74,          70,          68,          54,          55,          63,          48,          43,          32,          25,          40,          54,          53,          56,          61,          63,          72
        6,           0,          30,          70,          59,          49,          79,          73,          35,          37,          44,          41,          32,          12,           7,           7,           8,           0,           5,          12,          38,          75,          66,          70,         115,         172,         252
        8,           0,          45,          64,          43,          21,          12,           8,          11,          16,          24,          33,          40,          60,          58,          54,          25,          49,          50,          58,         124,         154,         147,         167,         126,         156,         173
       10,           0,          17,          57,          64,          42,          40,          36,          27,          34,          42,          41,          33,          23,          31,          36,          41,          45,          40,          42,          43,          72,         116,         176,         388,         883,          64
       12,           0,          27,          12,          30,          61,          73,          72,          66,          66,          69,          61,          54,          26,          30,          25,          35,          35,          48,          37,          75,         110,         139,         202,         287,         389,           0
       14,           0,          18,          69,          69,          40,          34,          45,          62,          73,          95,         109,         101,         112,         123,         147,          98,          77,          70,          90,         129,         153,         135,          76,          19,           0,           0
       16,           0,          10,          36,          53,          87,         119,         136,         106,          85,          68,          41,          36,          31,          34,          45,          59,          50,          57,          67,          79,         106,         160,         204,         301,         523,         122
       18,           0,           3,          37,          82,          64,          76,          51,          32,          52,          81,          86,          97,          83,          79,          85,          86,          81,          80,          83,          95,         110,         129,         129,         172,         279,         309
       20,           0,           4,          19,           5,           7,          18,          43,          69,          76,          78,          80,          90,          89,          93,          73,          74,          88,          84,          81,          98,         103,         109,         128,         139,         144,         161
       22,           0,           9,          20,          27,          42,          42,          45,          41,          32,          34,          45,          48,          32,          26,          31,          39,          40,          42,          43,          49,          52,          30,          36,          51,          62,          77
E=80 keV
  Dst > -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,         752,        2099,        2278,        2174,        2821,        2635,        2279,        2573,        2841,        2584,        2622,        2114,        2122,        2147,        2041,        2202,        2475,        2702,        3497,        4247,        4658,        5119,        5877,        7246,        9518
        2,           0,         946,        2035,        2100,        1878,        2517,        2484,        2186,        2659,        3019,        2812,        2516,        2005,        1970,        2074,        1772,        2157,        2384,        2662,        3489,        4465,        4894,        5456,        6111,        6992,        9181
        4,           0,        1496,        2261,        2114,        1929,        2431,        2414,        2168,        2682,        3099,        3003,        2783,        2101,        2130,        2055,        1805,        2205,        2453,        2821,        3604,        4443,        5229,        6036,        6956,        8815,       12696
        6,           0,        1426,        3023,        2749,        2210,        2919,        2796,        2562,        2671,        2724,        2518,        2236,        1668,        1824,        1833,        1587,        2037,        2303,        2749,        3890,        5068,        6015,        7404,        9459,       14356,       13518
